Date,Site,Filename,Lat,Lon,Depth_min_,Depth_max_,Contents,Notes,Length
10/11/2018,34,Site_34_1.mp4,-41.07571,174.2862,14.3,15.8,"Soft ""fluffy"" looking mud, brittle stars, diatom mats, burrows, tracks",Reasonable visibility,0:20
10/11/2018,33,Site_33_1.mp4,-41.08566,174.2646,13.5,14.9,"Soft ""fluffy"" looking mud, diatom mats, burrows, tracks, octopus",Reasonable visibility,0:24
10/11/2018,32,Site_32_1.mp4,-41.0793,174.2557,12.5,13.7,"Soft ""fluffy"" looking mud, diatom mats, burrows, tracks, fish, macroalgae, cushion star fish, hermit crab",Average visibility,0:24
10/11/2018,35,Site_35_1.mp4,-41.1042,174.3036,10.9,14.4,"Rocky substrate, anemones, fish, eleven arm starfish, macroalgae, blue cod, starfish, sponges, urchins","Good visibility, video stopped as drifted off site",0:20
10/11/2018,35,Site_35_2.mp4,-41.10371,174.3037,14.8,20.1,"Urchins, blue cod, sea cucumbers, macroalgae, eleven arm starfish, brittle stars, shell hash, diatom mats, tracks",Good visibility,0:24
10/11/2018,36,Site_36_1.mp4,-41.10147,174.3068,14.8,20.1,"Urchins, blue cod, sea cucumbers, macroalgae, eleven arm starfish,  shell hash, horse mussel, sponges","Reasonable visibility, two video files made for this site as lost the video feed",0:26
10/11/2018,R1,Site_R1_1.mp4,-41.10595,174.2871,16.3,17.5,"Soft ""fluffy"" looking mud, diatom mat, tracks, scallops, macroalgae",Reasonable visibility,0:21
10/11/2018,R2,Site_R2_1.mp4,-41.11569,174.2893,8.1,33,"Tube worms, urchins, blue cod, spotty, sea cucumbers, shell hash",Good visibility,0:26
10/11/2018,R3,Site_R3_1.mp4,-41.12336,174.2755,4.1,33.9,"Sponges, brittle star, horse mussel, shell rubble, sea cucumbers, cushion stars, blue cod, tube worms",Reasonable visibility,0:23
10/11/2018,R4,Site_R4_1.mp4,-41.12646,174.295,35.5,36.6,"Soft sediment , sea slug, sponges, turret shells, sea cucumber, urchins, gastropods",Reasonable visibility,0:27
10/11/2018,37,Site_37_1.mp4,-41.12709,174.2853,40,41.2,"Soft sediment , eleven arm starfish, sponges, urchins, burrows, horse mussels, turret shells",Reasonable visibility,0:21
10/11/2018,28,Site_28_1.mp4,-41.12142,174.2313,41.6,43.4,"Soft muddy sediment, many burrows, urchins",Average visibility,0:19
10/11/2018,29,Site_29_1.mp4,-41.12814,174.2334,45,45.2,"Soft mud, burrows, fish, tube worms",Average visibility,0:20
10/11/2018,R5,Site_R5_1.mp4,-41.11621,174.2208,14.2,25.6,"Blue cod, Ancorinid sponge, spotties, tube worms, eleven arm starfish, tube worms, turret shells, tunicates, sea cucumbers",Good visibility,0:25
10/11/2018,26,Site_26_1.mp4,-41.13205,174.1797,45.2,46,"Soft muddy sediment, burrows, anemone, tube worms",Bad visibility,0:10
10/11/2018,S30,Site_S30_1.mp4,-41.093044,174.244033,N/A,N/A,"Soft muddy sediment, burrows, tracks, diatom mat, scallop, eleven arm starfish, fish",Poor visibility,0:13
10/11/2018,S34,Site_S34_P1.png,-41.076778,174.281661,N/A,N/A,Brittle star,Poor visibility,N/A
10/11/2018,S34,Site_S34_1.mp4,-41.076839,174.281814,N/A,N/A,"Blue cod, macroalgae, star fish",Poor visibility,0:09
10/11/2018,ST2,Site_ST2_P1.png,-41.108924,174.292922,12.1,16,"Anemone, horse mussels, macroalgae, sea cucumber",Average visibility,N/A
